battery_power,bluetoth,dual_sim,front_cam,4G,int_memory,mob_weight,n_cores,main_cam,px_height,px_width,ram,talk_time,3G,touch_screen,wifi,price_range
842,0,0,1,0,7,188,2,2,20,756,2549,19,0,0,1,1
1021,1,1,0,1,53,136,3,6,905,1988,2631,7,1,1,0,2
563,1,1,2,1,41,145,5,6,1263,1716,2603,9,1,1,0,2
615,1,0,0,0,10,131,6,9,1216,1786,2769,11,1,0,0,2
1821,1,0,13,1,44,141,2,14,1208,1212,1411,15,1,1,0,1
1859,0,1,3,0,22,164,1,7,1004,1654,1067,10,1,0,0,1
1821,0,0,4,1,10,139,8,10,381,1018,3220,18,1,0,1,3
1954,0,1,0,0,24,187,4,0,512,1149,700,5,1,1,1,0
1445,1,0,0,0,53,174,7,14,386,836,1099,20,1,0,0,0
509,1,1,2,1,9,93,5,15,1137,1224,513,12,1,0,0,0
769,1,1,0,0,9,182,5,1,248,874,3946,7,0,0,0,3
1520,1,0,5,1,33,177,8,18,151,1005,3826,13,1,1,1,3
1815,0,0,2,0,33,159,4,17,607,748,1482,2,1,0,0,1
803,1,0,7,0,17,198,4,11,344,1440,2680,4,1,0,1,2
1866,0,0,13,1,52,185,1,17,356,563,373,3,1,0,1,0
775,0,0,3,0,46,159,2,16,862,1864,568,11,1,1,1,0
838,0,0,1,1,13,196,8,4,984,1850,3554,19,1,0,1,3
595,0,1,7,1,23,121,3,17,441,810,3752,18,1,1,0,3
1131,1,1,11,0,49,101,5,18,658,878,1835,16,1,1,0,1
682,1,0,4,0,19,121,4,11,902,1064,2337,18,0,1,1,1
772,0,1,12,0,39,81,7,14,1314,1854,2819,3,1,1,0,3
1709,1,0,1,0,13,156,2,2,974,1385,3283,15,1,0,0,3
1949,0,1,4,0,47,199,4,7,407,822,1433,20,0,0,1,1
1602,1,1,4,1,38,114,3,20,466,788,1037,20,1,0,0,0
503,0,1,5,1,8,111,3,13,201,1245,2583,12,1,0,0,1
961,1,1,0,1,57,114,8,3,291,1434,2782,7,1,1,1,2
519,1,1,7,1,51,132,4,19,550,645,3763,4,1,0,1,3
956,0,0,1,1,41,143,7,6,511,1075,3286,12,1,1,0,3
1453,0,1,12,1,52,96,2,18,187,1311,2373,10,1,1,1,2
851,0,0,3,0,21,200,5,7,1171,1263,478,10,1,0,1,0
1579,1,1,0,0,5,88,7,9,1358,1739,3532,12,0,0,1,3
1568,1,0,16,0,33,150,8,20,413,654,508,6,1,1,1,0
1319,1,0,3,1,41,107,1,18,85,1152,2227,3,1,1,1,1
1310,1,1,0,1,51,100,4,0,178,1919,3845,12,1,1,0,3
644,1,0,0,0,22,157,8,3,311,881,1262,15,1,0,0,0
725,0,1,16,0,60,160,8,17,1134,1249,1326,15,1,0,0,1
589,1,1,1,0,61,160,4,10,429,815,2113,2,1,0,1,1
1725,1,1,6,1,6,119,2,18,609,1307,3429,4,1,1,0,3
790,0,1,16,1,11,87,6,17,347,730,3169,2,1,0,1,2
560,0,1,15,0,50,159,2,20,1448,1613,2150,11,1,1,0,2
1347,0,0,5,0,44,132,1,14,434,967,2484,11,1,0,1,2
1646,1,0,8,1,41,185,2,10,1725,1932,3339,19,1,1,0,3
1253,1,1,5,1,5,152,2,19,685,714,1878,4,1,1,0,1
1656,0,0,5,1,34,166,3,7,880,1456,1629,14,1,1,0,1
1195,1,0,1,1,20,110,2,14,1580,1652,504,12,1,1,0,0
1514,0,0,0,0,27,118,3,1,186,1810,1152,20,0,1,1,1
1723,1,1,1,0,42,164,8,14,202,1791,3587,3,1,0,0,3
1054,1,1,3,1,40,196,7,10,27,774,2296,12,1,0,1,1
578,1,1,2,1,57,162,8,8,1025,1433,1270,5,1,0,1,0
596,0,1,9,0,64,111,8,15,885,1854,3238,10,0,0,0,3
1547,1,1,2,1,14,198,3,19,1042,1832,2059,15,1,0,1,2
1760,0,1,5,0,63,127,8,19,1382,1383,2053,16,0,1,0,2
1654,1,1,0,1,43,109,2,0,546,629,3112,10,1,1,0,3
1457,0,1,1,1,16,102,3,10,1013,1287,1440,12,1,0,1,1
1073,1,1,0,0,51,145,7,0,690,804,2908,18,0,1,0,2
1936,0,1,10,1,46,104,3,20,667,1036,2552,13,1,0,0,2
823,1,1,13,0,60,148,8,19,822,1449,905,17,1,1,1,0
987,0,1,0,1,61,107,3,9,581,820,3963,20,1,0,1,3
1757,0,0,8,0,49,180,6,14,265,713,2056,4,0,0,0,1
1063,0,1,2,1,48,128,5,4,127,683,2910,9,1,1,1,2
1484,0,0,3,0,12,134,3,5,916,969,1457,20,1,1,0,1
799,1,0,1,1,63,144,8,6,361,975,431,6,1,1,1,0
1156,1,1,0,1,50,159,2,0,322,547,470,15,1,1,0,0
1720,0,0,15,1,55,168,2,18,753,1353,2148,5,1,1,1,2
702,0,1,2,1,9,141,3,3,504,1570,2955,19,1,0,0,2
616,0,1,13,1,44,81,3,17,651,1618,3366,13,1,1,0,3
1358,1,0,11,1,36,155,4,14,1565,1858,3068,4,1,1,0,3
1866,0,0,0,0,30,182,3,0,108,1781,3834,8,0,0,0,3
1242,0,1,0,0,10,165,2,1,459,1225,1050,4,1,0,1,0
1166,0,1,0,1,43,80,4,1,205,603,3993,7,1,1,0,3
1448,1,1,6,1,45,138,7,11,570,1724,3378,2,1,1,1,3
1407,1,0,1,1,22,104,4,4,1172,1217,2192,13,1,0,1,2
605,0,0,8,1,9,142,3,16,160,1026,392,4,1,0,0,0
1038,0,0,3,0,43,141,1,5,4,638,3709,12,1,1,1,3
797,1,1,4,0,38,90,4,6,763,1413,590,6,0,1,0,0
819,0,1,8,1,42,188,6,20,339,1242,1814,13,1,0,1,1
1114,0,0,4,1,9,197,3,15,1040,1071,907,17,1,1,0,0
1234,1,1,1,0,33,172,1,3,166,778,1449,6,0,0,1,0
1199,1,1,15,1,16,116,4,20,1168,1552,3448,10,1,0,1,3
1103,0,1,6,0,29,111,6,8,990,1486,1837,16,0,1,1,1
1589,1,1,0,1,58,85,7,7,319,1206,3464,6,1,1,1,3
999,0,1,11,1,64,199,4,19,1397,1616,2593,16,1,1,0,2
1510,1,1,2,0,45,180,5,3,708,1752,3484,11,0,1,1,3
1008,0,0,11,0,61,114,3,15,1077,1122,2009,11,1,0,0,1
1127,1,1,5,1,57,163,1,13,928,1049,2048,17,1,1,1,1
1412,1,0,5,0,25,96,8,17,516,1894,837,4,0,0,1,1
1496,1,1,4,0,42,182,5,5,96,741,854,7,0,1,1,0
1083,1,1,1,1,64,178,3,11,1025,1118,3210,4,1,0,0,3
668,0,1,0,0,3,155,5,13,666,1203,2746,8,1,1,1,2
1309,0,1,0,0,33,100,4,14,557,1402,2334,11,1,0,1,2
1724,0,1,2,1,57,177,3,5,1605,1924,2822,16,1,1,0,3
1977,1,1,7,1,54,171,7,18,1226,1242,1971,14,1,1,0,2
885,0,1,0,1,15,103,7,0,769,802,1410,5,1,1,1,0
879,1,0,11,1,14,83,6,15,403,1105,349,2,1,0,1,0
1322,0,1,6,0,7,140,3,9,177,1990,1418,12,0,1,0,1
1137,1,0,18,0,7,196,3,19,942,1179,3616,12,1,1,1,3
1355,0,0,10,1,23,132,5,16,651,891,880,8,1,1,0,0
1665,1,0,3,1,60,194,6,18,1572,1684,1601,14,1,0,0,2
657,0,0,0,0,37,141,2,1,476,961,1412,18,0,1,0,0
593,0,0,6,0,31,156,7,7,1233,1317,1692,7,1,0,0,1
1883,1,0,3,1,10,146,6,13,836,1739,2600,20,1,0,0,3
1732,1,0,4,1,12,119,8,9,824,881,1308,11,1,0,1,1
543,0,0,0,0,57,192,5,4,391,984,2413,15,1,0,0,1
1939,1,1,0,1,55,199,4,10,320,520,1047,18,1,1,0,0
553,0,1,1,1,8,121,7,3,325,902,1204,8,1,1,1,0
832,0,1,2,1,39,103,4,3,125,1504,1799,11,1,0,1,1
1661,0,1,5,0,23,172,5,10,846,1634,2676,11,0,1,1,3
1657,1,0,3,0,42,198,5,16,1770,1796,2597,14,1,0,0,3
1135,1,1,0,0,46,83,1,4,293,1846,3029,9,1,1,1,3
1775,1,0,3,0,41,163,1,7,1633,1869,2343,14,1,1,1,3
783,0,1,0,1,43,106,3,4,1198,1471,2016,18,1,1,0,1
617,1,0,0,0,32,199,7,20,768,874,2213,7,0,0,0,1
867,0,1,0,1,4,135,6,1,70,1974,790,3,1,1,0,0
1310,1,1,13,0,7,194,5,14,117,513,3182,5,1,1,0,2
1804,0,0,9,1,22,153,7,19,1158,1244,3472,20,1,0,1,3
1900,1,0,1,1,18,89,7,9,1055,1661,2871,13,1,1,1,3
909,1,0,0,0,53,82,8,0,635,973,3187,4,1,0,0,2
1084,1,0,3,1,40,107,3,11,322,771,1945,10,1,1,0,1
1308,0,1,8,0,46,199,1,12,275,989,488,9,0,1,0,0
1778,0,0,0,0,15,102,3,0,1445,1954,1214,14,1,0,0,1
1701,1,1,3,0,10,194,8,7,550,1338,2598,6,0,1,0,2
772,1,1,1,1,10,80,4,2,1242,1712,3242,4,1,1,0,3
825,1,1,7,0,52,130,3,10,597,863,3534,6,0,1,0,3
1379,0,0,5,1,36,200,2,7,538,1376,3426,17,1,1,1,3
1166,0,0,3,1,25,198,5,4,59,1203,2488,15,1,0,0,2
1659,0,0,5,0,16,89,1,20,819,902,3255,9,0,0,1,3
826,1,1,0,1,58,88,4,1,179,786,2863,18,1,0,1,2
1564,0,0,4,1,25,189,6,17,1259,1965,1496,7,1,1,1,1
1957,0,1,11,0,31,181,3,16,396,1732,3801,7,1,0,1,3
1571,0,0,0,1,19,100,6,1,713,1398,666,13,1,1,0,0
1414,0,1,2,0,54,99,7,3,262,829,3799,7,1,0,1,3
1790,0,1,9,0,2,184,1,14,622,792,1366,20,1,1,1,1
645,0,0,1,0,41,197,7,10,327,580,2962,4,1,1,1,2
668,0,1,7,0,30,195,8,12,522,1056,2399,7,1,1,1,1
1652,1,1,1,0,36,89,4,5,313,1264,2338,20,0,0,0,2
1213,1,0,0,0,16,108,5,0,226,1248,2700,9,0,0,1,2
1272,1,1,0,0,22,133,6,8,605,669,2235,4,1,0,0,1
866,0,1,5,1,46,179,8,7,692,1686,3825,2,1,1,1,3
536,0,1,12,1,3,182,7,14,1386,1539,284,4,1,1,0,0
523,0,1,1,0,14,155,8,2,304,1042,1427,9,0,1,0,0
1753,0,1,0,1,31,134,1,18,1590,1926,1324,17,1,0,1,2
1218,0,1,1,1,14,147,3,4,229,616,398,5,1,0,0,0
1537,1,0,4,1,43,137,1,5,839,1131,3685,17,1,1,1,3
786,0,1,0,0,33,141,7,6,507,1697,2390,5,1,0,1,2
1678,0,0,3,1,64,134,3,11,436,536,278,10,1,1,0,0
1814,0,1,1,1,9,141,2,2,756,786,3556,16,1,0,0,3
1101,0,0,0,0,31,148,2,7,387,1269,2196,19,0,1,1,1
1461,0,1,3,1,40,141,7,4,1265,1298,3799,4,1,0,0,3
1216,0,0,4,0,47,199,3,7,1852,1967,2268,4,0,1,1,2
506,0,0,6,1,41,159,1,7,875,1025,2965,15,1,0,0,2
843,1,0,1,1,56,147,5,17,140,800,2341,20,1,1,1,1
742,0,1,4,0,56,190,7,14,577,1359,3557,12,0,1,1,3
1692,1,0,3,1,61,176,6,12,975,1996,1354,19,1,0,0,1
1485,0,0,2,1,32,84,2,9,510,1013,2147,11,1,1,0,2
1547,0,1,6,0,45,166,2,8,583,590,505,3,0,1,1,0
1692,0,1,4,1,46,139,1,6,674,1925,1394,6,1,1,0,1
637,0,0,3,1,60,97,4,4,1125,1989,374,8,1,0,1,0
1224,0,0,16,1,6,109,6,18,747,826,506,11,1,1,1,0
1356,0,0,0,0,29,198,6,0,1612,1983,3702,19,0,0,0,3
1840,0,1,12,0,34,142,1,16,311,1545,1078,10,0,0,0,1
1481,1,1,4,1,37,96,5,13,116,1533,2945,16,1,1,1,2
961,1,1,10,0,51,152,6,16,554,621,2981,7,1,1,1,2
1296,0,1,0,1,14,124,5,3,811,1272,490,4,1,1,1,0
1193,0,0,11,0,26,166,1,20,730,1729,536,4,1,0,1,0
1441,0,1,11,1,3,118,8,17,577,1071,2317,7,1,0,1,2
517,0,1,3,1,33,183,4,8,660,974,3704,11,1,0,1,3
748,1,0,0,1,27,150,8,4,450,1554,2126,7,1,0,0,1
1126,1,0,2,1,10,160,6,3,1223,1611,2050,12,1,1,1,2
1572,0,0,0,1,58,157,7,8,1109,1937,2462,10,1,0,0,3
1569,0,1,17,0,44,110,4,20,45,1942,1260,17,1,0,0,1
1270,1,1,2,1,32,101,7,6,299,845,3770,13,1,1,0,3
1854,0,0,2,1,8,101,5,5,506,627,1886,20,1,1,0,1
625,1,1,5,1,10,183,4,8,635,842,3323,7,1,1,1,2
1577,0,1,0,1,42,197,5,4,1045,1737,2060,12,1,0,0,2
